Country,AQI Value
Afghanistan,95.95918367346938
Albania,68.25
Algeria,88.16666666666667
Andorra,29.333333333333332
Angola,83.92592592592592
Argentina,28.235294117647058
Armenia,53.63636363636363
Aruba,163.0
Australia,33.6
Austria,53.720588235294116
Azerbaijan,58.76315789473684
Bahrain,188.0
Bangladesh,113.4625
Barbados,73.0
Belarus,38.45454545454545
Belgium,44.58098591549296
Belize,46.333333333333336
Benin,67.11111111111111
Bhutan,26.0
Bolivia (Plurinational State of),23.78787878787879
Bosnia and Herzegovina,60.55555555555556
Botswana,43.578947368421055
Brazil,44.57490396927017
Bulgaria,54.261538461538464
Burkina Faso,51.588235294117645
Burundi,62.69230769230769
Cabo Verde,38.0
Cambodia,45.25
Cameroon,69.015625
Canada,43.262411347517734
Central African Republic,64.16666666666667
Chad,75.33333333333333
Chile,87.85185185185185
China,126.95345911949686
Colombia,66.068
Comoros,33.0
Congo,87.58333333333333
Costa Rica,58.81578947368421
Croatia,57.935483870967744
Cuba,63.07142857142857
Cyprus,50.833333333333336
Czechia,60.90551181102362
Côte d'Ivoire,53.28358208955224
Democratic Republic of the Congo,114.81428571428572
Denmark,38.016666666666666
Dominican Republic,108.07894736842105
Ecuador,45.333333333333336
Egypt,101.65
El Salvador,97.36363636363636
Equatorial Guinea,45.25
Eritrea,99.2
Estonia,38.833333333333336
Ethiopia,78.73170731707317
Finland,38.370370370370374
France,53.33790523690773
Gabon,78.1
Gambia,147.0
Georgia,40.6
Germany,48.24684014869889
Ghana,62.793103448275865
Greece,68.28846153846153
Guatemala,80.9504132231405
Guinea,62.476190476190474
Guinea-Bissau,138.75
Guyana,45.5
Haiti,101.72222222222223
Honduras,63.42857142857143
Hungary,63.605633802816904
Iceland,23.0
India,152.96422829581994
Indonesia,93.03693931398416
Iran (Islamic Republic of),108.29608938547486
Iraq,114.07142857142857
Ireland,40.225806451612904
Israel,87.40425531914893
Italy,62.00408580183861
Jamaica,90.66666666666667
Japan,51.72364672364672
Jordan,96.83333333333333
Kazakhstan,61.2112676056338
Kenya,74.16666666666667
Kingdom of Eswatini,119.33333333333333
Kuwait,162.0
Kyrgyzstan,81.53846153846153
Lao People's Democratic Republic,43.5
Latvia,39.90909090909091
Lebanon,72.0
Lesotho,89.6
Liberia,38.0
Libya,105.4
Lithuania,38.13157894736842
Luxembourg,44.5
Madagascar,30.953846153846154
Malawi,47.333333333333336
Malaysia,81.616
Maldives,19.0
Mali,83.16
Malta,51.36363636363637
Mauritania,179.0
Mauritius,41.0
Mexico,89.5374149659864
Monaco,56.0
Mongolia,53.4
Montenegro,64.75
Morocco,45.36842105263158
Mozambique,36.82608695652174
Myanmar,40.16949152542373
Namibia,76.88235294117646
Nepal,116.36363636363636
Netherlands,38.13758389261745
New Zealand,30.727272727272727
Nicaragua,47.972972972972975
Niger,75.6896551724138
Nigeria,99.61111111111111
Norway,35.476190476190474
Oman,137.5
Pakistan,178.78827361563518
Palau,16.0
Panama,68.44444444444444
Papua New Guinea,24.866666666666667
Paraguay,42.76923076923077
Peru,36.4296875
Philippines,61.195845697329375
Poland,52.46015424164524
Portugal,34.6078431372549
Qatar,157.5
Republic of Korea,421.0
Republic of Moldova,52.964285714285715
Republic of North Macedonia,66.78260869565217
Romania,53.93364928909953
Russian Federation,42.50684931506849
Rwanda,93.53846153846153
Saint Kitts and Nevis,90.0
Saint Lucia,79.0
Saudi Arabia,149.28571428571428
Senegal,152.42424242424244
Serbia,67.98876404494382
Seychelles,26.0
Sierra Leone,44.2
Singapore,91.0
Slovakia,67.53225806451613
Slovenia,70.875
Solomon Islands,18.0
Somalia,72.05555555555556
South Africa,113.04022988505747
South Sudan,60.333333333333336
Spain,38.45647058823529
Sri Lanka,63.52173913043478
State of Palestine,86.0
Sudan,78.85714285714286
Suriname,43.333333333333336
Sweden,36.16494845360825
Switzerland,55.21551724137931
Syrian Arab Republic,86.93333333333334
Tajikistan,115.20689655172414
Thailand,53.58130081300813
Togo,65.15789473684211
Trinidad and Tobago,94.5
Tunisia,70.9090909090909
Turkey,51.66804979253112
Turkmenistan,104.72222222222223
Uganda,85.31746031746032
Ukraine,51.054794520547944
United Arab Emirates,163.66666666666666
United Kingdom of Great Britain and Northern Ireland,39.515
United Republic of Tanzania,31.633187772925766
United States of America,59.74059888579387
Uruguay,26.653846153846153
Uzbekistan,119.08620689655173
Vanuatu,30.0
Venezuela (Bolivarian Republic of),77.72222222222223
Viet Nam,87.05
Yemen,144.57142857142858
Zambia,40.666666666666664
Zimbabwe,43.74074074074074
