Country,PM2.5 AQI Value
Afghanistan,95.91836735
Albania,68.09375
Algeria,80.25
Andorra,22
Angola,81.92592593
Argentina,24.86764706
Armenia,52.59090909
Aruba,163
Australia,27.36470588
Austria,52.35294118
Azerbaijan,57.5
Bahrain,188
Bangladesh,112.7875
Barbados,73
Belarus,28.59090909
Belgium,44.50704225
Belize,45.33333333
Benin,67.11111111
Bhutan,26
Bolivia (Plurinational State of),23.24242424
Bosnia and Herzegovina,60.08333333
Botswana,42.31578947
Brazil,44.02304738
Bulgaria,51.12307692
Burkina Faso,51.58823529
Burundi,62.69230769
Cabo Verde,27
Cambodia,45.25
Cameroon,69.015625
Canada,38.90780142
Central African Republic,64.16666667
Chad,75.33333333
Chile,87.0617284
China,111.7031447
Colombia,66.016
Comoros,32
Congo,87.58333333
Costa Rica,58.81578947
Croatia,52.90322581
Cuba,61.86734694
Cyprus,35.33333333
Czechia,60.62204724
Côte d'Ivoire,53.28358209
Democratic Republic of the Congo,114.2714286
Denmark,27.4
Dominican Republic,108.0789474
Ecuador,45.25757576
Egypt,95.75
El Salvador,97.36363636
Equatorial Guinea,45.25
Eritrea,99.2
Estonia,28.08333333
Ethiopia,78.73170732
Finland,21.62962963
France,51.46259352
Gabon,78.1
Gambia,147
Georgia,35.85
Germany,46.23420074
Ghana,62.79310345
Greece,65.40384615
Guatemala,80.95041322
Guinea,62.47619048
Guinea-Bissau,138.75
Guyana,45.5
Haiti,101.7222222
Honduras,63.42857143
Hungary,62.54225352
Iceland,18.33333333
India,149.4630225
Indonesia,90.83377309
Iran (Islamic Republic of),105.2346369
Iraq,108.0714286
Ireland,34.96774194
Israel,87.40425532
Italy,56.30745659
Jamaica,90.66666667
Japan,41.4957265
Jordan,95.83333333
Kazakhstan,57.52112676
Kenya,74.03333333
Kingdom of Eswatini,119.3333333
Kuwait,162
Kyrgyzstan,81.53846154
Lao People's Democratic Republic,43.5
Latvia,35.77272727
Lebanon,72
Lesotho,89.6
Liberia,37.55555556
Libya,102.6
Lithuania,33.39473684
Luxembourg,43
Madagascar,26.30769231
Malawi,47.23809524
Malaysia,80.808
Maldives,15
Mali,83.16
Malta,39.81818182
Mauritania,179
Mauritius,40.61111111
Mexico,89.29251701
Monaco,42
Mongolia,48.4
Montenegro,64.75
Morocco,43.73684211
Mozambique,36.2173913
Myanmar,39
Namibia,75.70588235
Nepal,116.2727273
Netherlands,35.10738255
New Zealand,27.13636364
Nicaragua,47.94594595
Niger,75.68965517
Nigeria,99.61111111
Norway,18.57142857
Oman,134.8333333
Pakistan,173.1107492
Palau,7
Panama,68.44444444
Papua New Guinea,20.53333333
Paraguay,42.76923077
Peru,36.0859375
Philippines,61.05341246
Poland,49.25449871
Portugal,25.4379085
Qatar,147.5
Republic of Korea,415
Republic of Moldova,49.78571429
Republic of North Macedonia,66.7826087
Romania,51.27488152
Russian Federation,34.51329573
Rwanda,93.53846154
Saint Kitts and Nevis,90
Saint Lucia,79
Saudi Arabia,149.2857143
Senegal,152.4242424
Serbia,67.64044944
Seychelles,26
Sierra Leone,44.06666667
Singapore,91
Slovakia,67.33870968
Slovenia,69.875
Solomon Islands,6
Somalia,72.05555556
South Africa,113.0402299
South Sudan,60.33333333
Spain,30.21882353
Sri Lanka,63.52173913
State of Palestine,86
Sudan,78.85714286
Suriname,43.33333333
Sweden,21.04123711
Switzerland,55.02586207
Syrian Arab Republic,83.53333333
Tajikistan,115.2068966
Thailand,53.44308943
Togo,65.15789474
Trinidad and Tobago,94.5
Tunisia,58.70454545
Turkey,45.70539419
Turkmenistan,104.7222222
Uganda,85.31746032
Ukraine,43.68493151
United Arab Emirates,152.6666667
United Kingdom of Great Britain and Northern Ireland,35.9875
United Republic of Tanzania,31.11353712
United States of America,58.05153203
Uruguay,21.69230769
Uzbekistan,118.0862069
Vanuatu,30
Venezuela (Bolivarian Republic of),77.72222222
Viet Nam,82.48333333
Yemen,144.5714286
Zambia,39.95238095
Zimbabwe,42.74074074
